Program summary
simulated time,0.001845,0.001674,0.001521,0.001440,0.001434,0.001432,0.001432,0.001432,0.002074,0.001835,0.001832,0.001747,0.001710,0.001705,0.001704,0.001704,0.001701,0.001699,0.001912,0.001799,0.001792,0.003231,0.002898,0.002268,0.001856,0.001839,0.001836,0.001834,0.001917,0.001851,0.001841
simulated tick,1844606000,1673822000,1520956000,1439714000,1433897000,1431763000,1431715000,1431715000,2074178000,1834788000,1831746000,1746772000,1709952000,1704580000,1703922000,1704005000,1701134000,1699253000,1912225000,1799188000,1792255000,3231388000,2898343000,2267515000,1856236000,1839330000,1835706000,1834404000,1917058000,1851113000,1840912000
total Inst.,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971,378971
total cycle,1844606,1673822,1520956,1439714,1433897,1431763,1431715,1431715,2074178,1834788,1831746,1746772,1709952,1704580,1703922,1704005,1701134,1699253,1912225,1799188,1792255,3231388,2898343,2267515,1856236,1839330,1835706,1834404,1917058,1851113,1840912
CPI,4.863852,4.413529,4.010452,3.796234,3.780895,3.775268,3.775142,3.775142,5.469186,4.837964,4.829942,4.605883,4.508796,4.494631,4.492896,4.493115,4.485545,4.480585,5.042149,4.744094,4.725813,8.520514,7.642342,5.978977,4.894518,4.849940,4.840384,4.836951,5.054893,4.881009,4.854111
IPC,0.205598,0.226576,0.249348,0.263419,0.264488,0.264882,0.264891,0.264891,0.182843,0.206699,0.207042,0.217114,0.221789,0.222488,0.222574,0.222563,0.222938,0.223185,0.198328,0.210788,0.211604,0.117364,0.130850,0.167253,0.204310,0.206188,0.206595,0.206742,0.197828,0.204876,0.206011
Int-Inst. count,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040,376040
Load-Inst. count,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758,80758
Store-Inst. count,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786,40786
Vector-Inst. count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

L1-Instruction-Cache summary
$L1-I hit count,442397,449509,455864,459122,459257,459287,459295,459295,432833,442892,442856,442397,442397,442397,442397,442397,442397,442397,442397,442397,442397,442397,442397,442397,442397,442397,442397,442397,442397,442397,442397
$L1-I miss count,17213,10101,3746,488,353,323,315,315,26777,16718,16754,17213,17213,17213,17213,17213,17213,17213,17213,17213,17213,17213,17213,17213,17213,17213,17213,17213,17213,17213,17213
$L1-I access count,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610,459610
$L1-I miss rate,0.037451,0.021977,0.008150,0.001062,0.000768,0.000703,0.000685,0.000685,0.058260,0.036374,0.036453,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451
L1-I assoc,2,2,2,2,2,2,2,2,1,4,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
L1-I size,1024,2048,4096,8192,16384,32768,65536,131072,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024

L1-Data-Cache summary
$L1-D hit count,114824,114824,114824,114824,114824,114824,114824,114824,114824,114824,114824,118827,120339,120506,120537,120540,120561,120577,112248,116682,116976,114824,114824,114824,114824,114824,114824,114824,114824,114824,114824
$L1-D miss count,6682,6682,6682,6682,6682,6682,6682,6682,6682,6682,6682,2679,1167,1000,969,966,945,929,9258,4824,4530,6682,6682,6682,6682,6682,6682,6682,6682,6682,6682
